,Player,Faction,Faction Detachment,Primary,Secondary,Unique Faction List,Chapter,ChapterDetachment,Unique Chapter List,Specialist Name,Pure List?,Wins,Losses,Draws,Games,Avg VP,Avg Oppon VP,Win Percentage,Pure Win Percentage,Games by Primary,Games by Secondary,Games Mono,Primary Wins,Primary Loss,Primary Draw,Win % By Faction,VP by Faction,Opp VP by Faction,Win % By Primary,Win % by Chapter,VP by Primary,Top List,ITC 100,Tournament,Missions,Ruleset,Date
0,aaron albert,Necrons,1,1.0,,1.0,Sautekh Dynasty,1,1.0,,Mono,1,1,0,2,25.5,25.5,0.5,0.5,2.0,,2.0,1.0,1.0,0.0,0.5,25.5,25.5,0.5,0.5,25.5,No,,LVO,ITC,Fall FAQ,2020-01-24
1,aaron albert,Necrons,1,,1.0,,Sautekh Dynasty,1,,,,1,1,0,2,25.5,25.5,0.5,,,2.0,,,,,,,,,,,No,,LVO,ITC,Fall FAQ,2020-01-24
2,aaron aleong,Raven Guard,1,1.0,,1.0,Raven Guard,1,1.0,,,3,2,0,5,26.2,20.4,0.6,,5.0,,,3.0,2.0,0.0,0.6,26.2,20.4,0.6,0.6,26.2,No,,LVO,ITC,Fall FAQ,2020-01-24
3,aaron aleong,White Scars,1,,1.0,,White Scars,1,1.0,,,3,2,0,5,26.2,20.4,0.6,,,5.0,,,,,,,,,0.6,,No,,LVO,ITC,Fall FAQ,2020-01-24
4,aaron aleong,Blood Angels,1,,1.0,1.0,Blood Angels,1,1.0,,,3,2,0,5,26.2,20.4,0.6,,,5.0,,,,,0.6,26.2,20.4,,0.6,,No,,LVO,ITC,Fall FAQ,2020-01-24
5,aaron bratt,Chaos Daemons,1,1.0,,1.0,Chaos Undivided,1,1.0,,,1,5,0,6,17.5,31.5,0.16666666666666666,,6.0,,,1.0,5.0,0.0,0.16666666666666666,17.5,31.5,0.16666666666666666,0.16666666666666666,17.5,No,,LVO,ITC,Fall FAQ,2020-01-24
6,aaron bratt,Chaos Daemons,1,,1.0,,Chaos Undivided,1,,,,1,5,0,6,17.5,31.5,0.16666666666666666,,,6.0,,,,,,,,,,,No,,LVO,ITC,Fall FAQ,2020-01-24
7,aaron bratt,Thousand Sons,1,,1.0,1.0,Thousand Sons,1,1.0,,,1,5,0,6,17.5,31.5,0.16666666666666666,,,6.0,,,,,0.16666666666666666,17.5,31.5,,0.16666666666666666,,No,,LVO,ITC,Fall FAQ,2020-01-24
8,Aaron Chapman,Imperial Fists,1,1.0,,1.0,Imperial Fists,1,1.0,Indomitus Crusaders,,4,2,0,6,29.5,21.666666666666668,0.6666666666666666,0.6666666666666666,6.0,,6.0,4.0,2.0,0.0,0.6666666666666666,29.5,21.666666666666668,0.6666666666666666,0.6666666666666666,29.5,No,,LVO,ITC,Fall FAQ,2020-01-24
9,Aaron Chapman,Raven Guard,1,,1.0,,Raven Guard,1,1.0,,,4,2,0,6,29.5,21.666666666666668,0.6666666666666666,,,6.0,,,,,,,,,0.6666666666666666,,No,,LVO,ITC,Fall FAQ,2020-01-24
10,aaron fyffe,Iron Hands,1,1.0,,1.0,Iron Hands,1,1.0,,Mono,4,2,0,6,27.666666666666668,20.333333333333332,0.6666666666666666,0.6666666666666666,6.0,,6.0,4.0,2.0,0.0,0.6666666666666666,27.666666666666668,20.333333333333332,0.6666666666666666,0.6666666666666666,27.666666666666668,No,,LVO,ITC,Fall FAQ,2020-01-24
11,aaron fyffe,Iron Hands,1,,1.0,,Iron Hands,1,,,,4,2,0,6,27.666666666666668,20.333333333333332,0.6666666666666666,,,6.0,,,,,,,,,,,No,,LVO,ITC,Fall FAQ,2020-01-24
12,aaron harbert,Chaos Space Marines,1,1.0,,1.0,Iron Warriors,1,1.0,,Mono,2,3,1,6,21.166666666666668,24.333333333333332,0.4166666666666667,0.4166666666666667,6.0,,6.0,2.0,3.0,1.0,0.4166666666666667,21.166666666666668,24.333333333333332,0.4166666666666667,0.4166666666666667,21.166666666666668,No,,LVO,ITC,Fall FAQ,2020-01-24
13,aaron harbert,Chaos Space Marines,1,,1.0,,Iron Warriors,1,,,,2,3,1,6,21.166666666666668,24.333333333333332,0.4166666666666667,,,6.0,,,,,,,,,,,No,,LVO,ITC,Fall FAQ,2020-01-24
14,aaron harbert,Chaos Space Marines,1,,1.0,,Night Lords,1,1.0,,,2,3,1,6,21.166666666666668,24.333333333333332,0.4166666666666667,,,6.0,,,,,,,,,0.4166666666666667,,No,,LVO,ITC,Fall FAQ,2020-01-24
15,Aaron Knafla,Grey Knights,1,1.0,,1.0,Grey Knights,1,1.0,,Mono,3,3,0,6,21.0,29.0,0.5,0.5,6.0,,6.0,3.0,3.0,0.0,0.5,21.0,29.0,0.5,0.5,21.0,No,,LVO,ITC,Fall FAQ,2020-01-24
16,Aaron Knafla,Grey Knights,1,,1.0,,Grey Knights,1,,,,3,3,0,6,21.0,29.0,0.5,,,6.0,,,,,,,,,,,No,,LVO,ITC,Fall FAQ,2020-01-24
17,aaron scherer,Asuryani,1,1.0,,1.0,Alaitoc,1,1.0,windrider host,,2,4,0,6,22.333333333333332,27.333333333333332,0.3333333333333333,,6.0,,,2.0,4.0,0.0,0.3333333333333333,22.333333333333332,27.333333333333332,0.3333333333333333,0.3333333333333333,22.333333333333332,No,,LVO,ITC,Fall FAQ,2020-01-24
